Subjects,Conditions,WER,WER_lev,Prof,Acc,Comp,Intel
F01,POST,0.111111111,0.111111111,5.25,5.666666667,5.416666667,5.583333333
F01,PRE,0.333333333,0.444444444,4.25,4.916666667,4.333333333,5
F02,POST,0.111111111,0.111111111,5.666666667,5.416666667,5.416666667,5.75
F02,PRE,0.111111111,0.111111111,4.75,4.916666667,4.333333333,5.166666667
F03,POST,0.111111111,0.111111111,6.166666667,6.416666667,5.75,6.75
F03,PRE,0.111111111,0.111111111,6.75,7,6.583333333,6.916666667
F04,POST,0.111111111,0.111111111,5.666666667,5.333333333,5.416666667,5.666666667
F04,PRE,0.111111111,0.111111111,5.333333333,4.75,5.25,5.166666667
F05,POST,0.111111111,0.111111111,4.666666667,5,4.833333333,5.083333333
F05,PRE,0.222222222,0.555555556,4.75,5,4.75,5.083333333
F06,POST,0.666666667,2.333333333,3.916666667,4.166666667,3.916666667,4.166666667
F06,PRE,0.333333333,1.111111111,4.25,4.583333333,4.416666667,4.583333333
F07,POST,0.222222222,0.444444444,5.166666667,5.083333333,4.5,4.833333333
F07,PRE,0.444444444,1.222222222,5.416666667,5,4.75,5
F08,POST,0.333333333,0.333333333,4.833333333,5,4.916666667,5.166666667
F08,PRE,0.111111111,0.111111111,4.833333333,4.833333333,5.083333333,5.25
F09,POST,0.222222222,0.222222222,5.333333333,5.083333333,4.916666667,5.416666667
F09,PRE,0.111111111,0.111111111,5.416666667,5.583333333,5,5.833333333
F10,POST,0.444444444,1,4.583333333,4.666666667,4.5,5
F10,PRE,0.666666667,2,4.333333333,4.166666667,3.916666667,4.583333333
F11,POST,0.333333333,0.444444444,4.5,4.916666667,4.583333333,5.166666667
F11,PRE,0.111111111,0.111111111,5.416666667,5.166666667,5.416666667,5.166666667
F12,POST,0.111111111,0.222222222,5.583333333,5.333333333,5.416666667,5.833333333
F12,PRE,0.111111111,0.111111111,5.166666667,5.5,4.75,5.5
F13,POST,0.111111111,0.666666667,4.166666667,4.583333333,4.166666667,4.833333333
F13,PRE,0.333333333,0.555555556,3.833333333,4.25,3.916666667,4.333333333
F14,POST,0.111111111,0.111111111,5.833333333,6,5.916666667,6.25
F14,PRE,0.111111111,0.111111111,5.583333333,5.416666667,5.083333333,5.75
F15,POST,0.222222222,0.555555556,5.083333333,5.5,4.916666667,5.25
F15,PRE,0.222222222,0.555555556,4.333333333,5.083333333,4.833333333,5.083333333
M01,POST,0.333333333,0.444444444,4.75,5.166666667,4.916666667,5
M01,PRE,0.333333333,0.666666667,4.166666667,5.25,4.25,4.75
M02,POST,0.444444444,0.777777778,5.166666667,5,5.083333333,5.25
M02,PRE,0.111111111,0.111111111,5.333333333,5.5,4.916666667,5.25
M03,POST,0.222222222,0.333333333,3.75,4.083333333,4.416666667,4.416666667
M03,PRE,0.222222222,0.222222222,3.5,3.833333333,3.833333333,3.75
M04,POST,0.111111111,0.111111111,4.25,4.666666667,4.583333333,4.833333333
M04,PRE,0.222222222,0.333333333,3.666666667,4.25,4.5,4.416666667
M05,POST,0.111111111,0.111111111,4.25,4.25,4.333333333,4.333333333
M05,PRE,0.222222222,0.555555556,4.25,4.333333333,4.666666667,4.583333333
M06,POST,0.444444444,1.444444444,3.25,3.666666667,3.666666667,3.833333333
M06,PRE,0.444444444,0.666666667,3.083333333,3.583333333,3.75,3.833333333
M07,POST,0.111111111,0.111111111,5.5,5.333333333,5.416666667,5.5
M07,PRE,0.222222222,0.222222222,4.25,4.583333333,4.25,4.666666667
M08,POST,0.111111111,0.111111111,5.583333333,5.416666667,5.5,5.75
M08,PRE,0.222222222,0.777777778,4.916666667,4.916666667,4.583333333,5.166666667
M09,POST,0.222222222,1.444444444,4.166666667,4.5,4.25,4.416666667
M09,PRE,0.555555556,0.888888889,3,4.083333333,3.083333333,3.416666667
M10,POST,0.222222222,0.444444444,4,3.833333333,3.916666667,3.916666667
M10,PRE,0.333333333,0.333333333,4.416666667,4.75,4.083333333,4.666666667
M11,POST,0.333333333,0.333333333,4,5.166666667,3.583333333,4.5
M11,PRE,0.111111111,0.111111111,5.083333333,5.416666667,5.083333333,5.333333333
M12,POST,0.222222222,0.666666667,4.416666667,4.833333333,4.166666667,4.833333333
M12,PRE,0.111111111,0.111111111,5.666666667,5.666666667,5.166666667,5.5
M13,POST,0.333333333,0.888888889,3.833333333,4.166666667,3.666666667,3.916666667
M13,PRE,0.333333333,0.555555556,3.333333333,3.833333333,3.416666667,3.916666667
M14,POST,0.222222222,0.444444444,3.416666667,4.416666667,3.25,3.666666667
M14,PRE,0.111111111,0.111111111,3.916666667,4.5,4.166666667,4.416666667
M15,POST,0.111111111,0.111111111,4.5,4.833333333,4.75,4.916666667
M15,PRE,0.333333333,0.444444444,4.333333333,4.583333333,4.916666667,4.833333333
